iteration,energy
0,9.427641417727513
1,-58.97719509630235
2,-136.98197163552845
3,-224.29982284177964
4,-317.912393334678
5,-411.3687073674268
6,-495.86229214830905
7,-563.5604215936836
8,-610.9718982348979
9,-639.7701182595557
10,-654.9619249888002
11,-662.0240063587627
12,-664.9889428983494
13,-666.1441829241412
14,-666.5720169954537
15,-666.7253672301019
16,-666.7792326240734
17,-666.7979248461571
18,-666.8043658092774
19,-666.806576838881
20,-666.8073347076852
21,-666.8075946471592
22,-666.8076841140327
23,-666.807715167456
24,-666.8077261400534
25,-666.8077301574282
26,-666.8077317276263
27,-666.8077324094644
28,-666.8077327495391
29,-666.8077329449075
30,-666.8077330703869
31,-666.8077331569729
32,-666.8077332192164
33,-666.8077332649553
34,-666.8077332989876
35,-666.8077333244964
36,-666.8077333437071
37,-666.8077333582332
38,-666.8077333692472
39,-666.8077333776266
40,-666.807733384009
41,-666.807733388889
42,-666.8077333926216
43,-666.8077333954897
44,-666.8077333976961
45,-666.8077333993959
46,-666.8077334007068
47,-666.8077334017181
48,-666.8077334024994
49,-666.8077334031082
50,-666.807733403582
51,-666.8077334039489
52,-666.8077334042347
53,-666.8077334044573
54,-666.8077334046337
