iteration,energy
0,12.819403918124948
1,-2.8023617745058234
2,-8.85966691722198
3,-11.761498966116152
4,-13.307798434941017
5,-14.188749546490412
6,-14.714015558496238
7,-15.0374851175742
8,-15.241387989289162
9,-15.37210192334739
10,-15.456890900532558
11,-15.512310690364892
12,-15.54867597935392
13,-15.572545752488445
14,-15.588159157938192
15,-15.598291407987379
16,-15.604777508171747
17,-15.608839860607237
18,-15.61129701802626
19,-15.612698793095928
20,-15.613414851624476
21,-15.613693437877007
22,-15.6137006499054
23,-15.613546896123907
24,-15.613304817253425
25,-15.613021477382189
26,-15.612726679670631
27,-15.61243864653644
28,-15.612167899558383
29,-15.611919905654219
30,-15.611696876026596
31,-15.61149898274645
32,-15.611325175137576
33,-15.611173721565365
34,-15.6110425633715
35,-15.610929540895436
36,-15.610832532986812
37,-15.610749538565555
38,-15.610678719872206
39,-15.610618420862629
40,-15.610567169907885
41,-15.610523672985572
42,-15.610486801493265
43,-15.610455577399433
44,-15.610429157477864
45,-15.610406817712647
46,-15.610387938516787
47,-15.610371991112508
48,-15.610358525229124
49,-15.610347158151324
50,-15.61033756507647
51,-15.610329470696037
52,-15.61032264189485
53,-15.610316881452938
54,-15.610312022635796
55,-15.610307924563559
56,-15.610304468258233
57,-15.610301553277527
58,-15.610299094853612
59,-15.610297021464987
60,-15.610295272778473
61,-15.61029379790686
62,-15.610292553935096
63,-15.610291504674425
64,-15.610290619610023
65,-15.610289873012377
66,-15.610289243187308
67,-15.610288711843172
68,-15.610288263557052
69,-15.610287885324631
70,-15.610287566180636
71,-15.610287296878738
72,-15.610287069621812
73,-15.610286877834486
74,-15.610286715971439
75,-15.61028657935575
76,-15.610286464042755
77,-15.610286366705143
78,-15.610286284536214
79,-15.610286215168276
80,-15.610286156603845
81,-15.61028610715766
82,-15.610286065407788
83,-15.610286030154427
84,-15.610286000385125
