N,h,L2_error,H1_error
16,0.0625,1.3778323697121213e-07,6.691322503534019e-07
32,0.03125,1.3817985249489727e-07,6.700465769689701e-07
64,0.015625,1.382497492871312e-07,6.701527693388108e-07
128,0.0078125,1.3826407968695343e-07,6.701661547814606e-07
