N,h,L2_error,H1_error
16,0.0625,4.082786241845008e-12,7.13626588684997e-10
32,0.03125,1.0215545038712578e-12,3.570020572347422e-10
64,0.015625,2.554681366600124e-13,1.7853648209461652e-10
128,0.0078125,6.387446367113501e-14,8.927450169610164e-11
