iteration,energy
0,6.002500000000026
1,-16.98886492764538
2,-43.56343215584442
3,-73.5088211108104
4,-105.36742203120798
5,-136.46461617734565
6,-163.75680395528542
7,-184.97714541065093
8,-199.38702879388205
9,-207.8611112539288
10,-212.1965158324787
11,-214.16191496140314
12,-214.9734643411903
13,-215.28821831559526
14,-215.4064824646605
15,-215.4509770767664
16,-215.46843323822608
17,-215.47594251760867
18,-215.4796522317876
19,-215.48178627812052
20,-215.48317701798305
21,-215.48415958129544
22,-215.48488584439298
23,-215.48543561369314
24,-215.48585712846793
25,-215.48618269819895
26,-215.48643536025648
27,-215.48663212033574
28,-215.48678577143525
29,-215.48690604237248
30,-215.48700038252858
31,-215.48707452356308
32,-215.48713289217503
33,-215.48717891805282
34,-215.48721526580076
35,-215.4872440107963
36,-215.4872667731459
37,-215.48728482023662
38,-215.48729914543156
39,-215.48731052873714
40,-215.48731958364013
41,-215.48732679344278
42,-215.48733253941919
43,-215.4873371227941
44,-215.48734078184728
45,-215.48734370530443
46,-215.48734604280665
47,-215.4873479131498
48,-215.48734941072306
49,-215.48735061061538
50,-215.48735157259952
51,-215.48735234431442
52,-215.48735296374912
53,-215.4873534612296
54,-215.48735386097687
55,-215.4873541823608
56,-215.4873544408643
57,-215.48735464889245
58,-215.4873548163756
59,-215.4873549512767
60,-215.48735505998056
61,-215.4873551476081
62,-215.48735521827754
63,-215.48735527528657
64,-215.48735532129885
65,-215.4873553584458
66,-215.48735538844534
67,-215.48735541268047
68,-215.48735543226806
69,-215.4873554481036
70,-215.48735546090975
71,-215.48735547126424
72,-215.4873554796443
73,-215.48735548642668
74,-215.4873554919173
75,-215.48735549636322
76,-215.4873554999642
77,-215.48735550288177
78,-215.48735550524734
79,-215.487355507164
80,-215.48735550871734
81,-215.48735550997606
82,-215.4873555109975
83,-215.48735551182892
84,-215.48735551250158
85,-215.4873555130475
86,-215.4873555134906
87,-215.48735551385056
88,-215.48735551414248
89,-215.48735551437937
90,-215.48735551457432
91,-215.48735551472993
92,-215.4873555148551
93,-215.4873555149602
94,-215.4873555150458
95,-215.4873555151134
96,-215.4873555151674
97,-215.48735551521332
98,-215.4873555152507
99,-215.48735551527727
100,-215.4873555153042
101,-215.48735551532508
102,-215.4873555153406
103,-215.48735551535336
104,-215.4873555153631
105,-215.48735551537163
106,-215.48735551537908
107,-215.48735551538596
108,-215.4873555153896
109,-215.48735551539357
110,-215.48735551539795
111,-215.4873555153981
112,-215.4873555154049
113,-215.4873555154012
