N,h,L2_error,H1_error
16,0.0625,0.0029563568228447535,0.3534994702040989
32,0.03125,0.0007265681717206899,0.17643188651439032
64,0.015625,0.0001807431500509127,0.08816040620682518
128,0.0078125,4.5120959460773094e-05,0.0440724366092468
