N,h,L2_error,H1_error
16,0.0625,0.03580772447372892,3.526116060555502
32,0.03125,0.0176208409174658,2.943897238844294
64,0.015625,0.00866741143222386,2.3360932228174285
128,0.0078125,0.004501710876541021,1.75099842155795
