N,h,L2_error,H1_error
16,0.0625,0.03580771670144138,3.5261160774126674
32,0.03125,0.017620839276975733,2.943897246502185
64,0.015625,0.008667411054066838,2.336093223909815
128,0.0078125,0.00450171075730629,1.7509984217963788
