exact_case,anchoring,N,h,L2,H1,vtk_path
disk_radial,homeotropic,16,0.0625,0.020234054145241032,0.7366791103389515,
disk_radial,homeotropic,32,0.03125,0.020234054145241032,0.7366791103389515,
disk_radial,planar,16,0.0625,0.020230483699442994,0.7367128340297249,
disk_radial,planar,32,0.03125,0.020230483699442994,0.7367128340297249,
