exact_case,anchoring,N,h,L2,H1,vtk_path
constant,homeotropic,32,0.03125,7.850462293418876e-17,7.850462293418876e-17,
constant,homeotropic,64,0.015625,7.850462293418876e-17,7.850462293418876e-17,
constant,homeotropic,128,0.0078125,7.850462293418876e-17,7.850462293418876e-17,
constant,planar,32,0.03125,7.850462293418876e-17,7.850462293418876e-17,
constant,planar,64,0.015625,7.850462293418876e-17,7.850462293418876e-17,
constant,planar,128,0.0078125,7.850462293418876e-17,7.850462293418876e-17,
