N,h,L2_error,H1_error
16,0.0625,0.002956363550876076,0.3534994203241373
32,0.03125,0.0007265749389552249,0.17643186001659278
64,0.015625,0.000180749289748193,0.0881603940162211
128,0.0078125,4.5126998948050786e-05,0.044072430466566205
