N,h,L2_error,H1_error
16,0.0625,0.03580772443698977,3.5261160607701227
32,0.03125,0.017620840909864346,2.943897238882315
64,0.015625,0.008667411431079087,2.33609322282371
128,0.0078125,0.004501710877692489,1.7509984215586292
