iteration,energy
0,6.002500000000036
1,-22.404147050269728
2,-51.464022168684416
3,-82.94853448425539
4,-115.60319533780431
5,-146.85378590727748
6,-173.8367783788569
7,-194.51617986396536
8,-208.37567000852704
9,-216.4292037735395
10,-220.50389772809294
11,-222.3304925165186
12,-223.07472305119327
13,-223.35779552561533
14,-223.4606411862013
15,-223.49696322481032
16,-223.50959384798176
17,-223.51396355814674
18,-223.5154843050678
19,-223.51602541039435
20,-223.51622767775302
21,-223.5163104733124
22,-223.51634931977648
23,-223.51637065748594
24,-223.51638408790282
25,-223.51639334984878
26,-223.51640007523844
27,-223.51640509101236
28,-223.51640888312537
29,-223.5164117710511
30,-223.51641397981652
31,-223.51641567398056
32,-223.5164169762483
33,-223.5164179790756
34,-223.5164187525449
35,-223.5164193499758
36,-223.51641981205768
37,-223.5164201699069
38,-223.51642044736704
39,-223.5164206627416
40,-223.51642083010475
41,-223.51642096029116
42,-223.51642106165679
43,-223.51642114066172
44,-223.5164212022917
45,-223.51642125040954
46,-223.5164212880069
47,-223.51642131741093
48,-223.51642134042498
49,-223.5164213584484
50,-223.51642137257468
51,-223.5164213836549
52,-223.5164213923519
53,-223.51642139918135
54,-223.51642140454922
55,-223.51642140876905
56,-223.51642141209058
57,-223.5164214147061
58,-223.51642141676635
59,-223.51642141838954
60,-223.5164214196707
61,-223.51642142067834
62,-223.5164214214769
63,-223.51642142210613
64,-223.51642142260502
65,-223.51642142299778
66,-223.5164214233099
67,-223.51642142355573
68,-223.5164214237503
69,-223.51642142390452
70,-223.51642142402764
71,-223.51642142412345
72,-223.51642142420172
73,-223.5164214242627
74,-223.51642142431137
75,-223.5164214243481
76,-223.51642142437953
77,-223.51642142440463
78,-223.51642142442293
79,-223.5164214244392
80,-223.51642142444996
81,-223.51642142445968
82,-223.5164214244682
83,-223.5164214244748
84,-223.51642142447878
85,-223.51642142448185
86,-223.51642142448483
87,-223.516421424489
88,-223.51642142449074
89,-223.5164214244928
