iteration,energy
0,6.002500000000045
1,-14.832573580376359
2,-39.29024770164662
3,-67.28919482957828
4,-97.6649046400592
5,-127.99108093409389
6,-155.25154525128596
7,-177.0002224762395
8,-192.19711062707518
9,-201.4084596707782
10,-206.25975823144793
11,-208.5133720191
12,-209.45943821829752
13,-209.82806638222414
14,-209.9645691671099
15,-210.01348093476773
16,-210.03065287369796
17,-210.03660768863006
18,-210.038657632692
19,-210.03936032127223
20,-210.03960060240206
21,-210.03968265223457
22,-210.0397106491501
23,-210.03972019854578
24,-210.03972345513532
25,-210.039724565672
26,-210.039724944357
27,-210.0397250735258
28,-210.03972511760742
29,-210.03972513259342
30,-210.03972513777424
31,-210.03972513948588
32,-210.03972514004104
33,-210.0397251402727
34,-210.03972514037886
35,-210.0397251404285
36,-210.03972514046674
37,-210.03972514049315
38,-210.03972514050093
