iteration,energy
0,6.002499999999978
1,-16.91431195170179
2,-43.45134980841463
3,-73.37619651530922
4,-105.25740323252283
5,-136.40318932469063
6,-163.71840566158792
7,-184.93731077311952
8,-199.3492458076405
9,-207.83091473321687
10,-212.17316525998083
11,-214.1427221362491
12,-214.9563529999775
13,-215.2720456927075
14,-215.39070755294532
15,-215.4353594756272
16,-215.45286797535695
17,-215.46038398935443
18,-215.46408121024814
19,-215.46619557611015
20,-215.46756504242808
21,-215.4685273004146
22,-215.46923530553704
23,-215.4697692053987
24,-215.47017721721727
25,-215.47049145986878
26,-215.470734714042
27,-215.47092371599985
28,-215.47107100309765
29,-215.47118607422755
30,-215.47127617851464
31,-215.47134687682305
32,-215.47140245226342
33,-215.47144621503634
34,-215.47148073106501
35,-215.47150799467195
36,-215.47152955968969
37,-215.4715466394655
38,-215.47156018343105
39,-215.47157093593344
40,-215.471579481575
41,-215.4715862802637
42,-215.47159169437367
43,-215.47159600984574
44,-215.4715994526216
45,-215.47160220146094
46,-215.47160439797105
47,-215.4716061544515
48,-215.47160756006434
49,-215.4716086856689
50,-215.47160958763544
51,-215.47161031085025
52,-215.47161089108783
53,-215.47161135688222
54,-215.4716117310126
55,-215.47161203167693
56,-215.47161227342514
57,-215.47161246789722
58,-215.47161262441185
59,-215.47161275043572
60,-215.47161285195287
61,-215.47161293376405
62,-215.4716129997202
63,-215.47161305291635
64,-215.47161309583643
65,-215.47161313047897
66,-215.47161315844997
67,-215.47161318104094
68,-215.47161319929432
69,-215.47161321404724
70,-215.47161322597415
71,-215.47161323562003
72,-215.47161324342326
73,-215.47161324973774
74,-215.47161325484876
75,-215.47161325898617
76,-215.47161326233683
77,-215.47161326505108
78,-215.47161326725012
79,-215.47161326903287
80,-215.4716132704775
81,-215.4716132716494
82,-215.47161327259926
83,-215.47161327336957
84,-215.471613273995
85,-215.47161327450263
86,-215.4716132749142
87,-215.47161327524867
88,-215.47161327552
89,-215.47161327574028
90,-215.47161327591942
91,-215.47161327606503
92,-215.47161327618326
93,-215.47161327627953
94,-215.47161327635766
95,-215.47161327642098
96,-215.47161327647183
97,-215.47161327651426
98,-215.47161327654817
99,-215.47161327657653
100,-215.47161327659916
101,-215.47161327661712
102,-215.47161327663204
103,-215.47161327664423
104,-215.47161327665407
105,-215.47161327666194
106,-215.47161327666927
107,-215.47161327667447
108,-215.47161327667854
109,-215.47161327668215
110,-215.47161327668502
111,-215.47161327668744
112,-215.4716132766894
