iteration,energy
0,6.002500000000017
1,-14.790452537464493
2,-39.198967534304764
3,-67.15379671348109
4,-97.52572020739898
5,-127.89395081766065
6,-155.1928532336212
7,-176.9542790105588
8,-192.16130720411746
9,-201.3863199943317
10,-206.24858854056268
11,-208.50850732949468
12,-209.4575250763735
13,-209.82736315393436
14,-209.9643214505475
15,-210.01339588868484
16,-210.03062410794868
17,-210.03659803939092
18,-210.03865440994983
19,-210.0393592470947
20,-210.03960024459718
21,-210.03968253305004
22,-210.03971060941976
23,-210.0397201852762
24,-210.03972345070957
25,-210.03972456419385
26,-210.03972494389356
27,-210.03972507337943
28,-210.03972511754358
29,-210.03972513260703
30,-210.03972513774903
31,-210.03972513950586
32,-210.0397251401052
33,-210.039725140308
34,-210.03972514038185
35,-210.03972514040498
36,-210.0397251404143
37,-210.03972514042158
38,-210.03972514042349
