iteration,energy
0,6.002499999999999
1,-19.209799729826884
2,-47.5009008724911
3,-78.64071324559625
4,-111.19267274603034
5,-142.49381454466916
6,-169.48945330997893
7,-190.06917880794754
8,-203.82579289013321
9,-211.83866762130637
10,-215.91107308454662
11,-217.7446031571985
12,-218.49476716748921
13,-218.78159988404028
14,-218.88674025486662
15,-218.924517000769
16,-218.9381160449319
17,-218.943154821853
18,-218.94514875447612
19,-218.94602918103453
20,-218.9464768041102
21,-218.94673794744668
22,-218.94690690238087
23,-218.94702341063066
24,-218.9471066022802
25,-218.94716708937617
26,-218.94721148530598
27,-218.94724424013214
28,-218.94726848224843
29,-218.94728646267765
30,-218.94729982103163
31,-218.9473097595548
32,-218.94731716326123
33,-218.94732268533565
34,-218.9473268087921
35,-218.94732989137228
36,-218.94733219840245
37,-218.94733392691967
38,-218.947335223422
39,-218.94733619695762
40,-218.94733692878734
41,-218.94733747953268
42,-218.94733789446528
43,-218.9473382074286
44,-218.9473384437519
45,-218.94733862240864
46,-218.94733875762893
47,-218.9473388600943
48,-218.94733893783362
49,-218.94733899688364
50,-218.94733904179455
51,-218.94733907599402
52,-218.9473391020704
53,-218.94733912197813
54,-218.94733913719648
55,-218.94733914884583
56,-218.94733915777468
57,-218.94733916462775
58,-218.94733916989455
59,-218.9473391739478
60,-218.94733917707163
61,-218.9473391794824
62,-218.94733918134585
63,-218.9473391827873
64,-218.9473391839044
65,-218.94733918477172
66,-218.9473391854454
67,-218.94733918596978
68,-218.94733918637777
69,-218.94733918669692
70,-218.9473391869458
71,-218.94733918714098
72,-218.9473391872936
73,-218.94733918741304
74,-218.94733918750734
75,-218.94733918758135
76,-218.94733918763927
77,-218.9473391876854
78,-218.94733918772155
79,-218.94733918775023
80,-218.94733918777234
81,-218.9473391877905
82,-218.94733918780466
83,-218.947339187816
84,-218.94733918782472
85,-218.94733918783223
86,-218.94733918783723
87,-218.94733918784203
88,-218.94733918784587
89,-218.94733918784826
90,-218.947339187851
91,-218.94733918785266
