iteration,energy
0,12.819403918124568
1,-2.5628554473225122
2,-8.722828219685939
3,-11.663487981431857
4,-13.230781973922909
5,-14.124314805084477
6,-14.65722038155093
7,-14.985528484781796
8,-15.192599957728937
9,-15.325452868930793
10,-15.411725731640777
11,-15.468200843596
12,-15.505333882388015
13,-15.529773838624198
14,-15.5458186484428
15,-15.556282746796882
16,-15.56302784295422
17,-15.56729487958964
18,-15.569915531451059
19,-15.57144907389937
20,-15.572272121553697
21,-15.572638110609596
22,-15.57271708182825
23,-15.572622482608928
24,-15.57242932764098
25,-15.572186557478531
26,-15.57192547369592
27,-15.571665505650977
28,-15.571418154172221
29,-15.571189685483661
30,-15.570982966442953
31,-15.570798709106068
32,-15.570636308967257
33,-15.570494404015808
34,-15.570371242452618
35,-15.570264919805545
36,-15.570173527436655
37,-15.570095241439443
38,-15.570028371903009
39,-15.569971386256015
40,-15.569922916052999
41,-15.569881753547566
42,-15.569846842311986
43,-15.569817264718832
44,-15.569792228115116
45,-15.569771050842473
46,-15.569753148802382
47,-15.569738022960081
48,-15.569725247980102
49,-15.56971446205803
50,-15.56970535793213
51,-15.569697675012023
52,-15.56969119253584
53,-15.569685723654253
54,-15.569681110341918
55,-15.569677219034164
56,-15.569673936899012
57,-15.569671168659392
58,-15.569668833889269
59,-15.56966686471765
60,-15.5696652038814
61,-15.569663803075654
62,-15.569662621558225
63,-15.569661624968958
64,-15.569660784331948
65,-15.569660075213493
66,-15.569659477010504
67,-15.569658972350316
68,-15.569658546584188
69,-15.5696581873598
70,-15.56965788426172
71,-15.569657628506828
72,-15.569657412688557
73,-15.569657230560678
74,-15.56965707685538
75,-15.569656947130184
76,-15.569656837637716
77,-15.569656745217333
78,-15.569656667203
79,-15.569656601345507
80,-15.56965654574758
81,-15.569656498808436
82,-15.569656459177581
83,-15.56965642571512
84,-15.569656397460012
