iteration,energy
0,9.424456005454115
1,9.210676586985084
2,8.996426525571659
3,8.780566292793054
4,8.56207702016372
5,8.340046352416799
6,8.113660713163359
7,7.882202404484848
8,7.645050486320342
9,7.401684650062114
10,7.15169141380583
11,6.894771983770085
12,6.630751085657511
13,6.35958599900584
14,6.0813749500700816
15,5.796363956384203
16,5.504951189657832
17,5.2076879521883015
18,4.905275460778409
19,4.598556810114169
20,4.288503744589013
21,3.976198192821344
22,3.6628088905892913
23,3.3495638038166384
24,3.0377194253165873
25,2.728528317327923
26,2.4232064705858574
27,2.1229021234496535
28,1.8286676190865965
29,1.541435678799278
30,1.2620011553276533
31,0.9910089348542904
32,0.7289482226684693
33,0.4761530198624838
34,0.23280821841730504
35,-0.0010395577904539488
36,-0.22546743781229933
37,-0.4406592780315723
38,-0.6468872806127057
39,-0.8444933160411989
40,-1.0338708528480764
41,-1.2154482032260532
42,-1.3896735856403923
43,-1.5570023046215917
44,-1.7178861698274233
45,-1.8727651294029584
46,-2.022060981725774
47,-2.1661729540467674
48,-2.3054748930486473
49,-2.4403137956167162
50,-2.5710094120378626
51,-2.6978546723457146
52,-2.8211167141581193
53,-2.9410383225840864
54,-3.0578396261297653
55,-3.1717199245374044
56,-3.2828595535637097
57,-3.3914217169850875
58,-3.4975542372916637
59,-3.6013911936698673
60,-3.7030544292896224
61,-3.8026549200575257
62,-3.900294004378475
63,-3.9960644785902004
64,-4.090051566068385
65,-4.1823337699598575
66,-4.272983620439479
67,-4.36206832759261
68,-4.449650350729066
69,-4.535787894314834
70,-4.620535339898396
71,-4.703943622451568
72,-4.78606055895801
73,-4.86693113532778
74,-4.946597758021147
75,-5.0251004751110315
76,-5.102477171168157
77,-5.178763739671901
78,-5.253994236106147
79,-5.328201014427789
80,-5.401414849189823
81,-5.473665045254142
82,-5.544979536734479
83,-5.615384976560398
84,-5.684906817842791
85,-5.753569388044204
86,-5.82139595680869
87,-5.88840879818084
88,-5.954629247839279
89,-6.020077755881809
90,-6.084773935625732
91,-6.14873660882502
92,-6.211983847653359
93,-6.274533013758612
94,-6.336400794655987
95,-6.397603237696412
96,-6.458155781818582
97,-6.518073287270598
98,-6.577370063466842
99,-6.6360598951285095
100,-6.694156066841237
